store,week,brand,sales_,count,price_,prom_,cost_,Hausman
112,31,3,32,27015,7.02,0.0,6.04,7.165743243243242
112,32,3,33,27843,6.6,0.39,5.94,6.6439236790606655
112,33,3,23,26814,6.79,0.26,6.04,6.667642015005359
112,34,3,26,28022,6.64,0.35,5.96,6.566623889437315
112,35,3,18,26378,6.9,0.22,6.13,6.668078880407125
112,36,3,18,26378,6.9,0.22,6.13,7.281138353765323
112,37,3,27,27459,7.04,0.0,6.29,7.210531561461794
112,38,3,14,28194,7.08,0.0,6.29,7.107851622874806
112,39,3,18,26246,7.08,0.0,6.32,7.194306666666668
112,40,3,18,25922,7.0,0.0,6.24,7.275313432835819
112,41,3,26,33693,7.15,0.0,6.37,7.214580152671755
112,42,3,18,24776,7.22,0.0,6.37,7.224520547945206
112,43,3,25,27091,6.87,0.0,6.16,7.186662857142857
112,44,3,33,27043,7.04,0.0,6.3,7.17004048582996
112,45,3,23,28348,6.95,0.0,6.26,7.233070761014686
112,46,3,27,27750,7.04,0.0,5.95,7.304393770856507
112,47,3,27,27750,7.04,0.0,5.95,6.327058823529413
112,48,3,41,24946,6.09,0.71,5.91,6.42882304526749
112,1,4,30,26797,2.67,0.0,2.02,2.734532803180914
112,2,4,21,25370,2.67,0.38,2.02,2.7375604053000777
112,3,4,24,24801,2.67,0.75,2.02,2.738059701492537
112,4,4,26,25529,2.67,0.0,2.02,2.7290300678952475
112,5,4,17,25980,2.83,0.0,2.02,2.8911221122112214
112,6,4,28,26560,2.49,0.0,2.02,2.5066031195840557
112,7,4,22,25739,2.49,1.0,2.02,2.4995595126522963
112,8,4,22,25739,2.49,1.0,2.02,2.8571295336787568
112,9,4,17,28092,2.83,0.0,2.1,2.8892
112,10,4,20,28223,2.83,0.0,2.1,2.8771210340775557
112,11,4,21,26542,2.83,0.0,2.0,2.8729973118279575
112,12,4,18,27505,2.83,0.0,2.0,2.8778843788437887
112,13,4,12,26604,2.83,0.0,2.01,2.891711229946524
112,14,4,30,29027,2.83,0.0,2.0,2.9050000000000002
112,15,4,27,27570,2.83,0.0,2.0,2.8996129837702873
112,16,4,25,29072,2.97,0.0,2.0,3.0514602346805733
112,17,4,17,29339,2.97,0.0,2.01,3.0464412811387906
112,18,4,19,29115,2.97,0.0,2.01,3.0527962085308062
112,19,4,25,29199,2.97,0.0,2.07,3.049116279069767
112,20,4,29,28339,2.97,0.0,2.04,3.03774647887324
112,21,4,38,32119,2.97,0.0,2.05,3.0475266524520257
112,22,4,20,27930,2.97,0.0,2.07,3.0580291970802924
112,23,4,18,27717,2.97,0.0,2.07,3.0488789808917196
112,24,4,27,27840,2.97,0.0,2.11,3.0575458715596335
112,25,4,26,28529,2.97,0.0,2.11,3.0594183445190155
112,26,4,19,28417,2.97,0.11,2.11,2.9796424702058504
112,27,4,20,28099,2.97,0.0,2.11,2.9750476190476194
112,28,4,16,27518,2.97,0.0,2.11,3.034574712643678
112,29,4,24,28403,2.97,0.0,2.11,3.0451425313568987
112,30,4,23,29567,2.97,0.0,2.11,3.0497005347593586
112,31,4,34,27015,2.97,0.0,2.11,3.0485084745762716
112,32,4,34,27843,2.97,0.0,2.11,3.0451718061674007
112,33,4,31,26814,2.97,0.0,2.11,3.0512307692307696
112,34,4,28,28022,2.97,0.0,2.11,3.0504024144869213
112,35,4,19,26378,2.97,0.0,2.11,3.0413248638838475
112,36,4,19,26378,2.97,0.0,2.11,3.057517730496454
112,37,4,7,27459,2.97,0.0,2.0,3.0511167512690354
112,38,4,19,28194,2.97,0.0,2.0,3.051582733812949
112,39,4,27,26246,2.97,0.0,2.0,3.0431250000000003
112,40,4,22,25922,2.97,0.0,2.0,3.0408466819221966
112,41,4,21,33693,2.97,0.0,2.0,3.045668789808917
112,42,4,26,24776,2.97,0.0,2.0,3.0450196592398426
112,43,4,32,27091,2.97,0.0,1.88,3.0481016949152537
112,44,4,15,27043,2.97,0.0,1.88,3.0422004889975556
112,45,4,28,28348,2.97,0.0,1.88,3.0439489671931956
112,46,4,28,27750,2.97,0.0,1.88,3.05599531615925
112,47,4,28,27750,2.97,0.0,1.88,2.7999831932773107
112,48,4,25,24946,2.79,1.0,1.88,2.798295652173913
112,1,5,12,26797,4.97,0.0,3.46,4.970405156537753
112,2,5,23,25370,4.97,0.0,3.46,4.9703369065849925
112,3,5,19,24801,4.97,0.0,3.46,4.97
112,4,5,25,25529,4.69,0.0,3.46,4.704100719424461
112,5,5,25,25980,4.69,0.0,3.46,4.692696011004127
112,6,5,21,26560,4.69,0.0,3.46,4.69
112,7,5,21,25739,4.69,0.0,3.46,4.69
112,8,5,21,25739,4.69,0.0,3.46,5.190346153846154
112,9,5,22,28092,5.29,0.0,3.46,5.2652057613168735
112,10,5,21,28223,5.29,0.0,3.46,5.281315789473685
112,11,5,17,26542,5.29,0.0,3.46,5.2817039106145245
112,12,5,11,27505,5.29,0.0,3.46,5.280376884422111
112,13,5,15,26604,5.29,0.0,3.46,5.279191919191919
112,14,5,17,29027,5.29,0.0,3.46,5.282603406326034
112,15,5,14,27570,5.29,0.0,3.46,5.280448877805487
112,16,5,15,29072,5.29,0.0,3.54,5.27063829787234
112,17,5,16,29339,5.29,0.0,3.54,5.279134396355353
112,18,5,25,29115,5.29,0.0,3.62,5.275108481262328
112,19,5,20,29199,5.29,0.0,3.62,5.282690839694657
112,20,5,21,28339,5.03,0.52,3.61,5.026167664670659
112,21,5,24,32119,5.03,0.0,3.62,5.019927641099856
112,22,5,20,27930,5.03,1.0,3.62,5.012096774193548
112,23,5,26,27717,5.03,0.69,3.62,5.015046728971963
